trialIter,trialID,valid_cue,target_id,soa,cue_type,side,pic_version,pic_category,pic_type,pic_id,cue_category,block,cue_version,pic_file,cue_file
1,72,1,72,.8,label,left,B,bird,song,1,bird,0,B,bird_song_1,bird_label_B
1,191,0,47,1.0,label,right,A,motor,dirt,2,drum,0,A,motor_dirt_2,drum_label_A
1,175,0,31,1.0,label,left,A,guitar,electric,2,dog,0,A,guitar_electric_2,dog_label_A
1,142,1,142,1.2,label,right,B,motor,harley,1,motor,0,B,motor_harley_1,motor_label_B
1,230,0,86,.8,label,right,B,dog,york,1,guitar,0,B,dog_york_1,guitar_label_B
1,198,0,54,1.2,label,left,A,guitar,electric,1,bird,0,A,guitar_electric_1,bird_label_A
1,204,0,60,1.2,label,right,A,bird,hawk,1,phone,0,A,bird_hawk_1,phone_label_A
1,283,0,139,1.2,label,right,B,guitar,acoustic,2,bird,0,B,guitar_acoustic_2,bird_label_B
1,29,1,29,1.0,label,left,A,drum,kit,2,drum,0,A,drum_kit_2,drum_label_A
1,267,0,123,1.2,label,left,B,dog,york,2,guitar,0,B,dog_york_2,guitar_label_B
1,223,0,79,.8,label,left,B,guitar,acoustic,2,drum,0,B,guitar_acoustic_2,drum_label_B
1,94,1,94,.8,label,right,B,motor,harley,1,motor,0,B,motor_harley_1,motor_label_B
1,43,1,43,1.0,label,right,A,guitar,electric,2,guitar,0,A,guitar_electric_2,guitar_label_A
1,215,0,71,1.2,label,right,A,motor,dirt,2,drum,0,A,motor_dirt_2,drum_label_A
1,22,1,22,.8,label,right,A,motor,dirt,1,motor,0,A,motor_dirt_1,motor_label_A
1,194,0,50,1.2,label,left,A,dog,rott,1,phone,0,A,dog_rott_1,phone_label_A
1,114,1,114,1.0,label,right,B,guitar,acoustic,1,guitar,0,B,guitar_acoustic_1,guitar_label_B
1,4,1,4,.8,label,left,A,drum,kit,1,drum,0,A,drum_kit_1,drum_label_A
1,144,0,0,.8,label,left,A,bird,hawk,1,phone,0,A,bird_hawk_1,phone_label_A
1,165,0,21,.8,label,right,A,phone,cell,2,dog,0,A,phone_cell_2,dog_label_A
1,77,1,77,.8,label,left,B,drum,bongo,2,drum,0,B,drum_bongo_2,drum_label_B
1,212,0,68,1.2,label,right,A,phone,cell,1,drum,0,A,phone_cell_1,drum_label_A
1,35,1,35,1.0,label,left,A,motor,dirt,2,motor,0,A,motor_dirt_2,motor_label_A
1,67,1,67,1.2,label,right,A,guitar,electric,2,guitar,0,A,guitar_electric_2,guitar_label_A
1,172,0,28,1.0,label,left,A,drum,kit,1,guitar,0,A,drum_kit_1,guitar_label_A
1,284,0,140,1.2,label,right,B,phone,rotary,1,bird,0,B,phone_rotary_1,bird_label_B
1,26,1,26,1.0,label,left,A,dog,rott,1,dog,0,A,dog_rott_1,dog_label_A
1,220,0,76,.8,label,left,B,drum,bongo,1,guitar,0,B,drum_bongo_1,guitar_label_B
1,16,1,16,.8,label,right,A,drum,kit,1,drum,0,A,drum_kit_1,drum_label_A
1,174,0,30,1.0,label,left,A,guitar,electric,1,motor,0,A,guitar_electric_1,motor_label_A
1,269,0,125,1.2,label,left,B,drum,bongo,2,motor,0,B,drum_bongo_2,motor_label_B
1,171,0,27,1.0,label,left,A,dog,rott,2,drum,0,A,dog_rott_2,drum_label_A
1,90,1,90,.8,label,right,B,guitar,acoustic,1,guitar,0,B,guitar_acoustic_1,guitar_label_B
1,92,1,92,.8,label,right,B,phone,rotary,1,phone,0,B,phone_rotary_1,phone_label_B
1,18,1,18,.8,label,right,A,guitar,electric,1,guitar,0,A,guitar_electric_1,guitar_label_A
1,242,0,98,1.0,label,left,B,dog,york,1,bird,0,B,dog_york_1,bird_label_B
1,222,0,78,.8,label,left,B,guitar,acoustic,1,dog,0,B,guitar_acoustic_1,dog_label_B
1,161,0,17,.8,label,right,A,drum,kit,2,bird,0,A,drum_kit_2,bird_label_A
1,202,0,58,1.2,label,left,A,motor,dirt,1,dog,0,A,motor_dirt_1,dog_label_A
1,13,1,13,.8,label,right,A,bird,hawk,2,bird,0,A,bird_hawk_2,bird_label_A
1,275,0,131,1.2,label,left,B,motor,harley,2,dog,0,B,motor_harley_2,dog_label_B
1,182,0,38,1.0,label,right,A,dog,rott,1,guitar,0,A,dog_rott_1,guitar_label_A
1,107,1,107,1.0,label,left,B,motor,harley,2,motor,0,B,motor_harley_2,motor_label_B
1,201,0,57,1.2,label,left,A,phone,cell,2,drum,0,A,phone_cell_2,drum_label_A
1,147,0,3,.8,label,left,A,dog,rott,2,motor,0,A,dog_rott_2,motor_label_A
1,121,1,121,1.2,label,left,B,bird,song,2,bird,0,B,bird_song_2,bird_label_B
1,177,0,33,1.0,label,left,A,phone,cell,2,drum,0,A,phone_cell_2,drum_label_A
1,70,1,70,1.2,label,right,A,motor,dirt,1,motor,0,A,motor_dirt_1,motor_label_A
1,25,1,25,1.0,label,left,A,bird,hawk,2,bird,0,A,bird_hawk_2,bird_label_A
1,51,1,51,1.2,label,left,A,dog,rott,2,dog,0,A,dog_rott_2,dog_label_A
1,232,0,88,.8,label,right,B,drum,bongo,1,bird,0,B,drum_bongo_1,bird_label_B
1,285,0,141,1.2,label,right,B,phone,rotary,2,drum,0,B,phone_rotary_2,drum_label_B
1,82,1,82,.8,label,left,B,motor,harley,1,motor,0,B,motor_harley_1,motor_label_B
1,265,0,121,1.2,label,left,B,bird,song,2,phone,0,B,bird_song_2,phone_label_B
1,59,1,59,1.2,label,left,A,motor,dirt,2,motor,0,A,motor_dirt_2,motor_label_A
1,217,0,73,.8,label,left,B,bird,song,2,guitar,0,B,bird_song_2,guitar_label_B
1,234,0,90,.8,label,right,B,guitar,acoustic,1,dog,0,B,guitar_acoustic_1,dog_label_B
1,108,1,108,1.0,label,right,B,bird,song,1,bird,0,B,bird_song_1,bird_label_B
1,30,1,30,1.0,label,left,A,guitar,electric,1,guitar,0,A,guitar_electric_1,guitar_label_A
1,152,0,8,.8,label,left,A,phone,cell,1,drum,0,A,phone_cell_1,drum_label_A
1,133,1,133,1.2,label,right,B,bird,song,2,bird,0,B,bird_song_2,bird_label_B
1,253,0,109,1.0,label,right,B,bird,song,2,dog,0,B,bird_song_2,dog_label_B
1,277,0,133,1.2,label,right,B,bird,song,2,guitar,0,B,bird_song_2,guitar_label_B
1,44,1,44,1.0,label,right,A,phone,cell,1,phone,0,A,phone_cell_1,phone_label_A
1,286,0,142,1.2,label,right,B,motor,harley,1,drum,0,B,motor_harley_1,drum_label_B
1,96,1,96,1.0,label,left,B,bird,song,1,bird,0,B,bird_song_1,bird_label_B
1,150,0,6,.8,label,left,A,guitar,electric,1,dog,0,A,guitar_electric_1,dog_label_A
1,64,1,64,1.2,label,right,A,drum,kit,1,drum,0,A,drum_kit_1,drum_label_A
1,126,1,126,1.2,label,left,B,guitar,acoustic,1,guitar,0,B,guitar_acoustic_1,guitar_label_B
1,47,1,47,1.0,label,right,A,motor,dirt,2,motor,0,A,motor_dirt_2,motor_label_A
1,131,1,131,1.2,label,left,B,motor,harley,2,motor,0,B,motor_harley_2,motor_label_B
1,243,0,99,1.0,label,left,B,dog,york,2,phone,0,B,dog_york_2,phone_label_B
1,37,1,37,1.0,label,right,A,bird,hawk,2,bird,0,A,bird_hawk_2,bird_label_A
1,112,1,112,1.0,label,right,B,drum,bongo,1,drum,0,B,drum_bongo_1,drum_label_B
1,206,0,62,1.2,label,right,A,dog,rott,1,phone,0,A,dog_rott_1,phone_label_A
1,84,1,84,.8,label,right,B,bird,song,1,bird,0,B,bird_song_1,bird_label_B
1,193,0,49,1.2,label,left,A,bird,hawk,2,phone,0,A,bird_hawk_2,phone_label_A
1,1,1,1,.8,label,left,A,bird,hawk,2,bird,0,A,bird_hawk_2,bird_label_A
1,119,1,119,1.0,label,right,B,motor,harley,2,motor,0,B,motor_harley_2,motor_label_B
1,27,1,27,1.0,label,left,A,dog,rott,2,dog,0,A,dog_rott_2,dog_label_A
1,33,1,33,1.0,label,left,A,phone,cell,2,phone,0,A,phone_cell_2,phone_label_A
1,49,1,49,1.2,label,left,A,bird,hawk,2,bird,0,A,bird_hawk_2,bird_label_A
1,251,0,107,1.0,label,left,B,motor,harley,2,guitar,0,B,motor_harley_2,guitar_label_B
1,256,0,112,1.0,label,right,B,drum,bongo,1,bird,0,B,drum_bongo_1,bird_label_B
1,137,1,137,1.2,label,right,B,drum,bongo,2,drum,0,B,drum_bongo_2,drum_label_B
1,154,0,10,.8,label,left,A,motor,dirt,1,phone,0,A,motor_dirt_1,phone_label_A
1,42,1,42,1.0,label,right,A,guitar,electric,1,guitar,0,A,guitar_electric_1,guitar_label_A
1,40,1,40,1.0,label,right,A,drum,kit,1,drum,0,A,drum_kit_1,drum_label_A
1,260,0,116,1.0,label,right,B,phone,rotary,1,bird,1,B,phone_rotary_1,bird_label_B
1,71,1,71,1.2,label,right,A,motor,dirt,2,motor,1,A,motor_dirt_2,motor_label_A
1,99,1,99,1.0,label,left,B,dog,york,2,dog,1,B,dog_york_2,dog_label_B
1,236,0,92,.8,label,right,B,phone,rotary,1,bird,1,B,phone_rotary_1,bird_label_B
1,276,0,132,1.2,label,right,B,bird,song,1,guitar,1,B,bird_song_1,guitar_label_B
1,197,0,53,1.2,label,left,A,drum,kit,2,motor,1,A,drum_kit_2,motor_label_A
1,46,1,46,1.0,label,right,A,motor,dirt,1,motor,1,A,motor_dirt_1,motor_label_A
1,104,1,104,1.0,label,left,B,phone,rotary,1,phone,1,B,phone_rotary_1,phone_label_B
1,12,1,12,.8,label,right,A,bird,hawk,1,bird,1,A,bird_hawk_1,bird_label_A
1,245,0,101,1.0,label,left,B,drum,bongo,2,motor,1,B,drum_bongo_2,motor_label_B
1,282,0,138,1.2,label,right,B,guitar,acoustic,1,phone,1,B,guitar_acoustic_1,phone_label_B
1,19,1,19,.8,label,right,A,guitar,electric,2,guitar,1,A,guitar_electric_2,guitar_label_A
1,268,0,124,1.2,label,left,B,drum,bongo,1,dog,1,B,drum_bongo_1,dog_label_B
1,252,0,108,1.0,label,right,B,bird,song,1,phone,1,B,bird_song_1,phone_label_B
1,281,0,137,1.2,label,right,B,drum,bongo,2,motor,1,B,drum_bongo_2,motor_label_B
1,7,1,7,.8,label,left,A,guitar,electric,2,guitar,1,A,guitar_electric_2,guitar_label_A
1,28,1,28,1.0,label,left,A,drum,kit,1,drum,1,A,drum_kit_1,drum_label_A
1,239,0,95,.8,label,right,B,motor,harley,2,bird,1,B,motor_harley_2,bird_label_B
1,185,0,41,1.0,label,right,A,drum,kit,2,guitar,1,A,drum_kit_2,guitar_label_A
1,279,0,135,1.2,label,right,B,dog,york,2,drum,1,B,dog_york_2,drum_label_B
1,149,0,5,.8,label,left,A,drum,kit,2,dog,1,A,drum_kit_2,dog_label_A
1,73,1,73,.8,label,left,B,bird,song,2,bird,1,B,bird_song_2,bird_label_B
1,164,0,20,.8,label,right,A,phone,cell,1,dog,1,A,phone_cell_1,dog_label_A
1,178,0,34,1.0,label,left,A,motor,dirt,1,guitar,1,A,motor_dirt_1,guitar_label_A
1,143,1,143,1.2,label,right,B,motor,harley,2,motor,1,B,motor_harley_2,motor_label_B
1,95,1,95,.8,label,right,B,motor,harley,2,motor,1,B,motor_harley_2,motor_label_B
1,93,1,93,.8,label,right,B,phone,rotary,2,phone,1,B,phone_rotary_2,phone_label_B
1,219,0,75,.8,label,left,B,dog,york,2,drum,1,B,dog_york_2,drum_label_B
1,272,0,128,1.2,label,left,B,phone,rotary,1,motor,1,B,phone_rotary_1,motor_label_B
1,274,0,130,1.2,label,left,B,motor,harley,1,bird,1,B,motor_harley_1,bird_label_B
1,57,1,57,1.2,label,left,A,phone,cell,2,phone,1,A,phone_cell_2,phone_label_A
1,15,1,15,.8,label,right,A,dog,rott,2,dog,1,A,dog_rott_2,dog_label_A
1,91,1,91,.8,label,right,B,guitar,acoustic,2,guitar,1,B,guitar_acoustic_2,guitar_label_B
1,187,0,43,1.0,label,right,A,guitar,electric,2,phone,1,A,guitar_electric_2,phone_label_A
1,106,1,106,1.0,label,left,B,motor,harley,1,motor,1,B,motor_harley_1,motor_label_B
1,24,1,24,1.0,label,left,A,bird,hawk,1,bird,1,A,bird_hawk_1,bird_label_A
1,176,0,32,1.0,label,left,A,phone,cell,1,drum,1,A,phone_cell_1,drum_label_A
1,240,0,96,1.0,label,left,B,bird,song,1,drum,1,B,bird_song_1,drum_label_B
1,98,1,98,1.0,label,left,B,dog,york,1,dog,1,B,dog_york_1,dog_label_B
1,221,0,77,.8,label,left,B,drum,bongo,2,phone,1,B,drum_bongo_2,phone_label_B
1,123,1,123,1.2,label,left,B,dog,york,2,dog,1,B,dog_york_2,dog_label_B
