trialIter,trialID,valid_cue,target_id,soa,cue_type,side,pic_version,pic_category,pic_type,pic_id,cue_category,block,cue_version,pic_file,cue_file
1,20,1,20,.4,label,right,A,phone,cell,1,phone,0,B,phone_cell_1,phone_label_B
1,63,1,63,.7,label,right,A,dog,rott,2,dog,0,B,dog_rott_2,dog_label_B
1,133,1,133,.7,label,right,B,bird,song,2,bird,0,B,bird_song_2,bird_label_B
1,49,1,49,.7,label,left,A,bird,hawk,2,bird,0,A,bird_hawk_2,bird_label_A
1,115,1,115,.5,label,right,B,guitar,acoustic,2,guitar,0,A,guitar_acoustic_2,guitar_label_A
1,70,1,70,.7,label,right,A,motor,dirt,1,motor,0,A,motor_dirt_1,motor_label_A
1,89,1,89,.4,label,right,B,drum,bongo,2,drum,0,A,drum_bongo_2,drum_label_A
1,32,1,32,.5,label,left,A,phone,cell,1,phone,0,A,phone_cell_1,phone_label_A
1,170,0,26,.5,label,left,A,dog,rott,1,guitar,0,A,dog_rott_1,guitar_label_A
1,177,0,33,.5,label,left,A,phone,cell,2,motor,0,B,phone_cell_2,motor_label_B
1,278,0,134,.7,label,right,B,dog,york,1,bird,0,B,dog_york_1,bird_label_B
1,205,0,61,.7,label,right,A,bird,hawk,2,drum,0,A,bird_hawk_2,drum_label_A
1,51,1,51,.7,label,left,A,dog,rott,2,dog,0,A,dog_rott_2,dog_label_A
1,242,0,98,.5,label,left,B,dog,york,1,guitar,0,B,dog_york_1,guitar_label_B
1,168,0,24,.5,label,left,A,bird,hawk,1,drum,0,A,bird_hawk_1,drum_label_A
1,160,0,16,.4,label,right,A,drum,kit,1,guitar,0,A,drum_kit_1,guitar_label_A
1,34,1,34,.5,label,left,A,motor,dirt,1,motor,0,A,motor_dirt_1,motor_label_A
1,211,0,67,.7,label,right,A,guitar,electric,2,dog,0,B,guitar_electric_2,dog_label_B
1,117,1,117,.5,label,right,B,phone,rotary,2,phone,0,B,phone_rotary_2,phone_label_B
1,226,0,82,.4,label,left,B,motor,harley,1,drum,0,B,motor_harley_1,drum_label_B
1,216,0,72,.4,label,left,B,bird,song,1,dog,0,A,bird_song_1,dog_label_A
1,251,0,107,.5,label,left,B,motor,harley,2,bird,0,A,motor_harley_2,bird_label_A
1,269,0,125,.7,label,left,B,drum,bongo,2,guitar,0,A,drum_bongo_2,guitar_label_A
1,69,1,69,.7,label,right,A,phone,cell,2,phone,0,B,phone_cell_2,phone_label_B
1,83,1,83,.4,label,left,B,motor,harley,2,motor,0,A,motor_harley_2,motor_label_A
1,180,0,36,.5,label,right,A,bird,hawk,1,guitar,0,B,bird_hawk_1,guitar_label_B
1,40,1,40,.5,label,right,A,drum,kit,1,drum,0,A,drum_kit_1,drum_label_A
1,66,1,66,.7,label,right,A,guitar,electric,1,guitar,0,A,guitar_electric_1,guitar_label_A
1,35,1,35,.5,label,left,A,motor,dirt,2,motor,0,B,motor_dirt_2,motor_label_B
1,191,0,47,.5,label,right,A,motor,dirt,2,bird,0,B,motor_dirt_2,bird_label_B
1,103,1,103,.5,label,left,B,guitar,acoustic,2,guitar,0,B,guitar_acoustic_2,guitar_label_B
1,87,1,87,.4,label,right,B,dog,york,2,dog,0,B,dog_york_2,dog_label_B
1,64,1,64,.7,label,right,A,drum,kit,1,drum,0,A,drum_kit_1,drum_label_A
1,164,0,20,.4,label,right,A,phone,cell,1,dog,0,B,phone_cell_1,dog_label_B
1,284,0,140,.7,label,right,B,phone,rotary,1,dog,0,A,phone_rotary_1,dog_label_A
1,266,0,122,.7,label,left,B,dog,york,1,drum,0,A,dog_york_1,drum_label_A
1,184,0,40,.5,label,right,A,drum,kit,1,dog,0,A,drum_kit_1,dog_label_A
1,123,1,123,.7,label,left,B,dog,york,2,dog,0,B,dog_york_2,dog_label_B
1,109,1,109,.5,label,right,B,bird,song,2,bird,0,A,bird_song_2,bird_label_A
1,17,1,17,.4,label,right,A,drum,kit,2,drum,0,B,drum_kit_2,drum_label_B
1,3,1,3,.4,label,left,A,dog,rott,2,dog,0,A,dog_rott_2,dog_label_A
1,140,1,140,.7,label,right,B,phone,rotary,1,phone,0,A,phone_rotary_1,phone_label_A
1,156,0,12,.4,label,right,A,bird,hawk,1,drum,0,A,bird_hawk_1,drum_label_A
1,151,0,7,.4,label,left,A,guitar,electric,2,motor,0,B,guitar_electric_2,motor_label_B
1,57,1,57,.7,label,left,A,phone,cell,2,phone,0,A,phone_cell_2,phone_label_A
1,236,0,92,.4,label,right,B,phone,rotary,1,motor,0,A,phone_rotary_1,motor_label_A
1,75,1,75,.4,label,left,B,dog,york,2,dog,0,A,dog_york_2,dog_label_A
1,285,0,141,.7,label,right,B,phone,rotary,2,guitar,0,A,phone_rotary_2,guitar_label_A
1,232,0,88,.4,label,right,B,drum,bongo,1,bird,0,B,drum_bongo_1,bird_label_B
1,254,0,110,.5,label,right,B,dog,york,1,bird,0,B,dog_york_1,bird_label_B
1,93,1,93,.4,label,right,B,phone,rotary,2,phone,0,A,phone_rotary_2,phone_label_A
1,264,0,120,.7,label,left,B,bird,song,1,dog,0,B,bird_song_1,dog_label_B
1,218,0,74,.4,label,left,B,dog,york,1,motor,0,A,dog_york_1,motor_label_A
1,53,1,53,.7,label,left,A,drum,kit,2,drum,0,A,drum_kit_2,drum_label_A
1,137,1,137,.7,label,right,B,drum,bongo,2,drum,0,A,drum_bongo_2,drum_label_A
1,121,1,121,.7,label,left,B,bird,song,2,bird,0,B,bird_song_2,bird_label_B
