pic_category,pic_type,pic_version,pic_id
bird,hawk,A,1
bird,hawk,A,2
bird,song,B,1
bird,song,B,2
dog,rott,A,1
dog,rott,A,2
dog,york,B,1
dog,york,B,2
drum,kit,A,1
drum,kit,A,2
drum,bongo,B,1
drum,bongo,B,2
guitar,electric,A,1
guitar,electric,A,2
guitar,acoustic,B,1
guitar,acoustic,B,2
phone,cell,A,1
phone,cell,A,2
phone,rotary,B,1
phone,rotary,B,2
motor,dirt,A,1
motor,dirt,A,2
motor,harley,B,1
motor,harley,B,2
